reversal_type,N,cumulative_mean,ci_lower_2.5,ci_upper_97.5
block,320,0.4761757557771835,0.44264956495551516,0.5110422291020658
block,330,0.47734959196852295,0.44565654799914256,0.5112724586105085
block,340,0.47716403846377553,0.4460128314865781,0.5106597321363763
block,350,0.47444198565384826,0.4422267864765619,0.5069444113479159
block,360,0.4724091346687458,0.4398942171857754,0.5038596877866501
block,370,0.4742859130458962,0.44344920727524567,0.5061096026631842
block,380,0.4750927741547791,0.4451626360103441,0.5058285517369315
block,390,0.4730406145460656,0.4429914333669097,0.5049786937125192
block,400,0.4715245110293688,0.4416235898762642,0.501616767759709
block,410,0.4680193839580156,0.438211082089457,0.4974513127713767
block,420,0.46572325736784975,0.43719850476922206,0.4958873591265555
block,430,0.4673618981947528,0.43920870444058124,0.49770422376578144
block,440,0.46769998063242363,0.4380833165999173,0.4985432663518841
block,450,0.46641113436712794,0.43784038418552096,0.4951641418387607
block,460,0.46739994712839705,0.43877229751821406,0.495187080178065
block,470,0.46715441384198725,0.4416867176355321,0.4945968996459144
block,480,0.46810106632957144,0.4414332359695517,0.49543228903007674
block,490,0.466449723447079,0.43963327965327104,0.49373171642302843
block,500,0.4689587089418867,0.44199124257020955,0.4949772927213103
