sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
0.1349242373,0.5882707290,0.7182310049,0.1009670489,0.4123899882,-0.2428225823,-1.6371995425,-0.2263154471,-0.3321423463,0.3633913279
2.0155983504,0.0675697199,-0.0612466283,0.1180728792,0.1106048146,1.0731313324,0.2227257070,0.1671045366,1.4620407608,-0.4233886529
2.5476340904,0.5814148455,0.6584143386,1.2084881109,5.2130539663,-0.0209617694,-0.2437709081,0.5613154988,4.7657826333,0.1420701960
1.3456933380,-0.0003628501,0.3541555220,1.3379942534,-0.1864329931,1.1019612600,-0.0792463840,0.7540182547,0.1861887997,1.6241664339
-0.2776384911,-0.0785649267,0.0424224379,-0.6759250458,0.0855484326,3.6713780305,0.3452720121,-0.5513801142,-0.4140632713,0.2067556471
-1.0618145695,0.3486028216,0.2323483330,0.4424142888,-0.0603352020,1.0869367708,0.0881938265,0.2176716995,-0.6996523035,0.5456110939
0.4085789392,-0.0805176194,-0.3324754949,5.6900201063,1.8219142179,-0.5293374561,0.3190131946,-0.0257460993,0.2213038799,0.4533699130
0.2537262984,-0.2386027378,0.8135458843,1.8973479233,-0.4910277398,1.5346196395,-0.0010035899,1.0654945067,0.5263727314,0.4197512304
-0.5859633889,-0.7583354304,0.4739188683,0.7304391894,1.4008253990,0.0521729109,-0.4041786874,0.5487813843,1.0435968512,8.5131222351
0.9030173136,-0.0065776198,-0.3678925316,-0.0598388626,0.1470785096,0.8908163453,-2.6518408980,0.5915665994,3.1641805303,-0.1032610978
0.3190334604,0.2662741503,0.3360528578,1.8046491765,0.0093857992,-0.0911185181,4.6471639244,0.2134490743,0.5342353574,0.2254799421
-0.4988966845,-1.6568537958,2.6870146597,0.1540980133,-0.0059897050,0.3642725729,0.1019068957,-0.7094768012,-0.0647784323,2.1479578703
1.5025788105,-0.5420447964,0.3599469517,-0.0518584115,-0.0271374722,-0.4515211810,0.3767338252,0.7721636370,0.0039484720,1.4377843609
0.6755050220,-0.6073673061,0.1859592989,2.0444765620,-0.0281560659,0.2480294704,4.6261811860,-0.4458977971,-0.3434095750,-0.4381112654
-0.1157754658,-0.8884586237,-1.0467330633,0.0020400352,1.1446670794,-0.5731922595,0.4039440624,0.4602267977,-0.1949473299,0.8242782575
-0.4119111940,-0.6041163913,-0.2215977956,-0.0232321114,-0.7106517282,0.1509307719,-0.1862650774,3.2759972601,2.6900290677,3.7990243837
0.9510323084,-0.7831448928,0.0738329188,0.9139566792,0.6737181630,1.9975809592,-0.3081437285,-0.2114126133,0.6665474555,1.2324328488
-0.1739615381,0.2397395914,0.9798600519,0.1988424545,0.3503730388,0.8626321373,0.7681691704,1.3991602865,0.0040503122,1.5022380781
0.7689852304,0.3353741675,-0.4139329496,-0.0496988070,-0.6444991381,1.7700840291,-0.7206854939,-1.8393752594,1.6596264567,0.1368765170
-0.1533633982,0.3289143666,0.2905982774,0.2695598928,-0.0784794225,1.0449014537,-0.4831575866,3.2716193837,0.2280233359,0.5123571702
0.0009645774,0.2116267265,0.3239270847,-1.9055994337,1.7888718010,-1.0806503486,0.8235490059,1.7610825667,0.0766420278,-0.1795986576
0.3574618277,0.3586764774,0.1137937895,-0.1796344854,1.5925878682,0.5495022092,0.9131365577,0.0887373989,2.5596075039,1.0124823741
0.1626749341,1.1310624703,0.0752407531,0.2400237890,1.8226644014,0.0334659937,0.0902521241,1.8024907701,1.3401243769,1.2637079885
0.0901164483,-0.0256475359,1.2732291576,-0.0000428529,-0.1941944894,0.2298234886,-2.6133624932,-0.1862302671,-0.2270974813,0.2422764154
1.1430462622,1.9285714864,2.8005567303,0.0072489662,0.3678296828,1.7887179357,-0.2858773375,0.1480486220,1.7812494483,1.4754184260
0.0364439328,0.9561887837,0.1340047849,1.2367624341,3.5243451628,-0.4465353751,0.0383626786,-0.0168737267,0.0997548044,0.3958466400
1.5461127992,-0.3257205323,0.1021445294,0.1064370815,0.4100742879,-0.0355197665,0.2540092894,-1.0997810078,-0.2730929329,-0.2101492234
-0.0472132135,1.1093409326,-0.2593557793,-0.0858617992,2.6379668236,0.7139326532,-0.0122207164,0.4002686954,0.0854694504,1.6818215177
0.2684078874,0.4689429006,0.3699521058,0.3119287200,0.9365568189,-0.6849262309,1.1164653326,1.6216154682,0.0081786269,-0.9448408060
0.1211175566,-0.1200798020,0.1644886635,-1.4487249843,0.1002154469,0.3886049913,0.0310290735,-0.1741854177,0.0575648969,1.8312359330
-0.0623067892,0.0709692223,-0.9647756938,0.8614227379,-0.4590846617,-0.7045988403,-2.0571662789,0.5204710307,1.5196029056,-1.5490235187
-0.0247330845,0.1473609873,-0.0330694733,-0.6303864682,1.2976674216,-0.9522719127,1.4255623178,0.7496857924,-1.2450980931,-0.1926870564
0.1590638686,-0.7800135295,-0.1857417886,1.4468171028,0.0388010658,-0.0845232259,1.7352575840,0.2960340003,0.2723088618,-0.6417157018
-0.4889920395,0.5169001164,-0.0138183384,0.1804242939,0.3932222271,2.1280886983,0.5648885754,1.4878991077,-0.0181105874,1.9925358980
0.0315812191,1.5053579104,1.3389520801,0.9761831405,0.0480666698,0.2824090091,1.9450383314,3.1273389958,-0.0648512110,-0.1228697129
0.0643467581,2.3654048304,-0.0345777074,0.0244451147,1.5894008340,0.5164563888,1.3020236003,-0.1225529280,-1.4117757724,0.0415862048
