sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
0.9249876618,0.8234927519,6.4641701550,0.4837285592,1.8906336049,0.3601518607,-0.0934755963,0.1345742643,4.3022221457,-0.1822200616
0.4748338621,0.0223009316,-0.6535450709,0.5733419934,-0.2926930477,1.0002401205,2.3585039883,-1.4841874537,0.0215975885,0.2780270698
-0.4388474990,0.0244217951,2.0190277539,-0.0638267718,-0.1694361640,-0.4252981850,-0.1505785823,0.9282435021,0.6544249716,-0.6232178252
-0.0766367162,1.1377150617,0.2196526307,2.6332128710,0.2485759508,0.0016941003,-1.0170519590,-0.0632120479,2.0212137105,0.8641258952
-0.0060892987,0.9574181586,1.7334372752,0.0297701542,0.1361644050,-0.1870873378,1.3518823828,-0.8997121881,-0.1904406013,0.0398515968
2.2768316267,-0.4455509741,1.4102473671,1.6042849303,0.1448033640,1.5028374989,0.5064559552,-0.0247969190,-1.2726787615,-0.1153903924
1.3386703918,1.2426376440,-0.2506223862,-0.8411767093,2.2003851724,2.1472065107,0.7792664941,-0.1662874872,0.1022968792,0.2433786265
-0.0114885902,0.7890185210,0.0913205216,-0.5965870582,0.8027120954,1.3495681537,-0.5076960744,0.0915160773,-0.3783345425,0.2749963850
0.6539667643,1.0672529286,0.3189533302,1.1074123429,-0.0520301323,0.2872631548,-0.1367287402,-0.2940601944,0.0029890167,1.6694711112
-0.0302525988,-0.0010016280,1.1324344450,-0.2043882315,-0.1577244801,1.6665262681,1.3841591984,3.2089117270,0.5293586823,-0.6370978653
0.0105365323,0.4455043174,-2.4854843328,0.0611931271,0.5090309971,0.2705654400,0.1040693395,-0.0515906957,3.5091935597,0.0234512733
-0.0080061488,-0.1745294513,0.3318543977,0.6232699427,-0.1073809135,0.5181759553,1.7995926250,0.0014068411,0.4278535544,1.1793301281
0.0743522372,0.0665360923,0.6279515962,-0.0169970862,-0.1284381926,-0.2767011234,0.0946412959,9.1196200046,0.0266027673,-0.9293039279
0.5077478056,0.0611288452,0.1058169687,0.0153145539,0.8083197880,0.2789735984,0.3509508243,-0.0693145718,0.0727091542,-0.3647968102
-0.2428282551,-0.4206878567,-0.0008319915,-0.0967257342,0.4031840672,0.2497002987,0.0173116033,-0.1697089260,0.2459174117,0.8207996950
2.6988789919,-0.0083959152,-0.5332945713,0.0474250574,-0.3676290954,-0.6289794590,0.0185619612,-0.1265074310,0.4158157125,-0.0273629182
