sigma_T5,sigma_T10,sigma_T15,sigma_T20,sigma_T25,sigma_T30,sigma_T35,sigma_T40,sigma_T45,sigma_T50
5.6353764633,1.6414255709,1.9367729793,2.1974753834,4.8807865314,2.1280727861,6.4517382398,6.4613179401,4.1424169295,5.7891253905
-0.2087725931,-0.8932250746,3.6984673279,-0.0402192523,4.1867315986,1.0386825702,2.7967092206,9.6039412888,-0.1331332921,-1.6859957542
0.3742260917,-1.1674912187,0.2997270346,0.9192314157,2.1989073626,0.8052699974,0.7787114876,-3.0901811283,3.0638133728,3.7309808646
0.2084181319,-0.1478150031,0.4322682406,1.1246909746,-0.6301299427,0.4274530950,2.5055096439,1.8967548708,4.3498119579,1.2249850985
-0.6782485861,-0.2371636403,-0.6944260318,-0.8252016027,0.7788390549,1.2994404339,1.7333234376,1.1505910526,1.8609475041,2.3684684152
0.5658994322,1.0712612324,0.3339090466,-0.2877926154,-0.1986587738,1.4224889889,3.8330438493,-0.8746817229,0.1722048961,1.6555300972
-0.0139991979,0.5044585447,-0.3634634574,0.3082643770,0.5339378568,1.9964749688,6.1831156945,2.8044731538,7.8525291452,4.3744364278
-0.0361746406,0.1295518308,0.2098556754,0.7146511606,-0.8669523325,-0.8598695551,1.5024149025,1.8978541260,6.1489097531,-1.3145976579
-0.3649258960,0.3712532811,0.8550246120,2.1327863682,0.7601354684,2.9651413569,4.0904463999,-1.0135174824,1.5945349267,5.5271034170
0.0364277099,-0.7254745822,1.0623475833,4.2480470087,4.5634384080,1.2582847230,1.8189661559,3.3048040233,6.8948123006,3.5183557835
0.2071748757,0.3047484796,-0.0488475934,2.4176852184,7.4314922515,1.4485876861,0.0421446850,1.4287821473,2.2500653582,6.7328446656
0.2674449275,-1.7781519324,0.1487808084,-0.7419889746,4.8772503318,-1.0285493910,2.4159028153,7.7604570156,3.9534697181,4.7742212950
-0.4903151892,0.6084528346,1.6867257279,-1.5061815005,-0.5356432519,3.3182979775,3.3290911926,9.5726354211,2.4129767046,7.1782104616
0.1752074717,0.0373170396,2.9980560169,5.4770045304,-0.4218641121,2.2524687974,3.6688006877,4.3638365797,4.9377499220,2.2076714805
5.0371289102,1.0966842181,-0.8450623790,2.9618121353,-1.0372953435,2.2682710792,2.3600129166,4.2391372090,3.6155963363,3.5261434987
0.1789194864,0.4711797039,1.7778490599,4.4479432774,2.5278202578,2.0687880007,2.0010123835,2.7488518502,3.0537067769,1.3762021123
-0.2625634461,0.5753006538,0.7259434939,-0.2320978452,1.7269430438,2.5325562111,1.7837581332,5.9535748179,0.4544839520,13.2286701547
0.0841094336,2.1941954552,-1.1518307306,3.5245857750,0.6437326873,1.0291086939,-0.8188188126,2.7648624118,0.1310001107,2.5367416107
0.5837705874,-0.6914574604,3.8198331633,1.0874993126,-0.3359070725,0.0413662144,4.0974040628,6.7380682873,0.8228723678,5.5355800147
-0.0305826301,-0.1965194401,0.4926688370,0.2642102575,0.4220275047,1.2991787784,1.4381392180,7.0239871919,4.7000260567,2.5485151626
-0.4404797247,2.8320726731,0.0725912382,1.6776616832,-1.3825606203,-0.4952903797,3.1028371551,4.8616296551,5.9871883026,1.8338871939
0.2163746347,0.6485609146,-0.4331382902,-1.0073260018,0.5273795143,3.0958420925,0.8276429183,-0.0639915581,-0.2141282974,1.4191575005
-0.9372878865,-0.5460358683,0.2961154049,1.2542147241,3.3685698795,1.9433995889,2.5833569269,3.4463892572,-0.3739777026,6.2173241747
0.0261866636,-0.4086499999,0.5062484929,-1.3101646045,1.7916938998,4.3857780172,1.2244340965,0.4057754422,-2.1015097340,2.1156463840
1.3466655358,0.9243116787,0.3475596216,0.8044258856,0.2842863931,-3.9565645735,2.5223165214,0.1951185932,4.9361643691,3.3705077748
0.4061860211,0.2325820413,1.1153688907,0.2336049135,4.0319885527,-0.7578068631,0.5684931968,-1.3438564711,0.9210762773,2.3174937054
0.2713705009,0.9584680567,-1.4466668812,1.5677809287,2.7091795542,1.9346570741,1.5460353289,4.0144641359,1.4578705905,3.2360390509
0.2152247712,4.2397317530,-1.1988379548,0.4515924677,1.7653275231,1.2119473932,0.1599552664,-3.0080406430,3.1486561988,-3.1440139431
0.0721014200,0.2263404064,1.9674405353,0.6392690334,-0.5081839249,-0.5597072825,4.6760665667,4.1731056251,5.7298487030,3.1534615075
0.8479297951,2.1108677182,1.9778599058,0.5995943861,2.8299598702,0.3486791156,5.2122691307,2.1112230403,1.7108557793,6.7236864503
0.4145107235,0.7477470104,0.6265436216,3.3429561535,1.2559088561,0.8863990863,3.1033345161,3.6871846326,0.2879588258,4.8866767834
