temperature,N,cumulative_mean_exp_neg_sigma,ci_lower_2.5,ci_upper_97.5
3.0,1580,0.9432270728674721,0.7543709366697188,1.161994470222099
3.0,1590,0.9479884254873909,0.7637216251251951,1.1773570928536163
3.0,1600,0.951198129672959,0.7694585188603312,1.1638056298037496
3.0,1610,0.9488354515209769,0.7664102919187901,1.1699440706027078
3.0,1620,0.946474372076228,0.7685800371264703,1.1662554824870388
3.0,1630,0.9437052727533093,0.7584753193558514,1.168986351316593
3.0,1640,0.9402307318126482,0.7687518713227212,1.1430885152328811
3.0,1650,0.9348505270492401,0.7599809589490074,1.1506871539879417
3.0,1660,0.9355733207887046,0.7603619854955277,1.1498627474465966
3.0,1670,0.9327410560357591,0.7548019958154771,1.1386981571751853
3.0,1680,0.9518791809065588,0.7644414801890123,1.1622203492840901
3.0,1690,0.948075105274673,0.7719300135574165,1.1524689952660057
3.0,1700,0.9489039307394609,0.7706832388130049,1.156113875583498
3.0,1710,0.9469875691457637,0.7500647582254345,1.1487037730519751
3.0,1720,0.9442961176930167,0.7637459312675718,1.1536855314839074
3.0,1730,0.9450252237235891,0.7764346574159848,1.1546414174312696
3.0,1740,0.9441723393469463,0.7646200025038368,1.150131177493672
3.0,1750,0.9417110629299524,0.7641538498429992,1.1515675501249185
3.0,1760,0.9454518771673479,0.7717835518284836,1.1551566999684224
3.0,1770,0.9421189215314906,0.7716946932416907,1.144629517638958
3.0,1780,0.9406639454263621,0.7702486582649064,1.1449917442180444
3.0,1790,0.9389368165665809,0.7801855211821556,1.1418765029770965
3.0,1800,0.9378909930234911,0.7693291762013937,1.1298515812157994
3.0,1810,0.9368019330998016,0.7677288569489273,1.1405287400376931
3.0,1820,0.9364162062812689,0.7651550959003942,1.1346752421713466
3.0,1830,0.9335831189126995,0.7679635521846048,1.1266174755096598
3.0,1840,0.9302960553171439,0.7726420714572263,1.1312435486432424
3.0,1850,0.9276452194383905,0.7678691932887844,1.1242307045238626
3.0,1860,0.9248041597191604,0.7617645873591791,1.1145160002840786
3.0,1870,0.9234917074381224,0.7592471443010914,1.1134829788305796
3.0,1880,1.0905921413324613,0.7840402493231222,1.5416244724327308
3.0,1890,1.0897144590596994,0.8000783972635023,1.5420811707621187
3.0,1900,1.0940185806630804,0.7927477425132187,1.5244150159580128
3.0,1910,1.089467152371061,0.7975254613258468,1.5224994185848226
3.0,1920,1.0856757250746274,0.7962419647862853,1.521732095214926
